"Time","Temp","Weather","Wind","Humidity","Barometer","Visibility","day","year","Wind_mph"
"12:53","65 ","Clear.","17 mph","29","29.73","10 ",1,2011,"17"
"1:53","64 ","Clear.","17 mph","26","29.75","10 ",1,2011,"17"
"2:53","59 ","Clear.","16 mph","32","29.78","10 ",1,2011,"16"
"3:53","57 ","Clear.","14 mph","33","29.81","10 ",1,2011,"14"
"4:53","55 ","Clear.","15 mph","39","29.83","10 ",1,2011,"15"
"5:53","49 ","Clear.","9 mph","55","29.87","10 ",1,2011,"9"
"6:53","51 ","Scattered clouds.","9 mph","46","29.89","10 ",1,2011,"9"
"7:53","54 ","Partly sunny.","10 mph","43","29.91","10 ",1,2011,"10"
"8:53","58 ","Partly sunny.","16 mph","41","29.93","10 ",1,2011,"16"
"9:53","60 ","Partly sunny.","13 mph","39","29.93","10 ",1,2011,"13"
"10:53","59 ","Partly sunny.","12 mph","42","29.96","10 ",1,2011,"12"
"11:53","60 ","Sunny.","17 mph","42","29.98","10 ",1,2011,"17"
"12:53","63 ","Sunny.","16 mph","33","29.97","10 ",1,2011,"16"
"1:53","68 ","Scattered clouds.","12 mph","27","29.96","10 ",1,2011,"12"
"2:53","72 ","Sunny.","15 mph","24","29.95","10 ",1,2011,"15"
"3:53","73 ","Sunny.","14 mph","24","29.95","10 ",1,2011,"14"
"4:53","74 ","Sunny.","16 mph","21","29.95","10 ",1,2011,"16"
"5:53","74 ","Sunny.","15 mph","21","29.97","10 ",1,2011,"15"
"6:53","73 ","Sunny.","15 mph","19","29.97","10 ",1,2011,"15"
"7:53","67 ","Sunny.","13 mph","27","29.98","10 ",1,2011,"13"
"8:53","63 ","Clear.","13 mph","28","30.00","10 ",1,2011,"13"
"9:53","59 ","Clear.","13 mph","32","30.02","9 ",1,2011,"13"
"10:53","58 ","Clear.","13 mph","38","30.03","10 ",1,2011,"13"
"11:53","51 ","Clear.","8 mph","50","30.05","10 ",1,2011,"8"
"12:53","65 ","Clear.","17 mph","29","29.73","10 ",2,2011,"17"
